,0
243,"낙강물길공원 역시 가을에 가볼만한곳이에요.
한국의 지베르니라고 불린다는데
사실 지베르니를 안 가봐서 잘 모르겠고요..
생각보다 아담한 규모의 정원이었지만
사람이 북적이는 편이 아니라서
여유롭고 한적하게 가을을 느끼기에 좋았답니다.
낙강물길공원 자체보다 낙강물길공원으로 가는 길의
은행나무 가로수길이 하이라이트였는데요.
차가 잘 다니지 않는 도로라서
인증샷 찍기에도 참 괜찮았어요.
11월 초는 조금 늦은 시기였는지
나뭇잎이 반 이상 떨어진 상태였는데
10월 말에 방문하면 더 풍성한 은행나무를
만날 수 있을 것 같다는 생각입니다.
오늘 국내 가을 여행지로 가볼만한 지역인
경상북도 경주, 청송, 안동과
단풍 스팟 10곳을 추천해드렸는데요.
그중에서도 경주 만송정과 안동 용계 은행나무는
지역 사회 경제에 도움을 주는 착한여행인
경북소셜문화관광이 가능한 스팟이에요.
위누리 홈페이지에서 자세히 살펴보실 수 있고요-
스팟들은 리스트에 저장해두었다가
내년 단풍 시즌에 꼭 방문해보시길 바라요 :)"
244,※ 마스크 착용 및 위생방역절차를 준수하였습니다
245,"늦
가을부터 봄기운이 완연해질 때까지 저는 집에서조차 맨발을 드러낼 수 없습니다. 그 이유는 수족냉증에 있는데, 보일러로 뜨끈뜨끈하게 달궈진 방바닥일지라도 맨발로 닿는 게 영 어색하거든요. 그래서 겨울엔 항상 양말을 신고 있습니다. 그때그때 필요에 의한 것보단 습관처럼 된 것이죠. 이는 분명 혈액순환과 관련된 신체 문제라 그 방법을 나름대로 택해 해결에 주력해야겠지만 엄연히 제가 지닌 제철 습관입니다. 그래서 오늘은 제철이란 단어에 주목하며 여행기를 써내릴 생각인데요. 같은 곳을 다른 계절에 찾아가면 본능적으로 ""여긴 ~때가 제철이군"" 하는 나름의 판단이 서기 마련이니, 그 과정 통한 나만의 제철 여행지에 대해 생각해보는 재미가 은근히 쏠쏠합니다. 며칠 전 계절을 달리해 만난 경북 예천이 제겐 예천 여행의 제철에 대해 생각해보도록 이끌었는데요. 이 겨울날 예천 여행은 지역 곳곳에 산재된 유서 깊은 명당을 둘러보는 재미가 은은한 낭만으로 다가왔습니다."
246,"경
북 예천을 처음 경험했던 작년 여름, 생애 첫 108배로 각별한 인상을 남긴 예천 용문사에서 이번 예천 여행이 시작되었습니다. 집에서 차를 끌고 나와 2시간 정도 걸려 도착해 처음 맞이한 풍경은 대장전과 윤장대의 국보승격 소식이었는데요. 그동안 보물 제415호와 제684호로 관리되던 두 유물은 이제 국보 제328호로 절대 떨어질 수 없는 한 쌍으로 거듭났답니다. 먼저 대장전은 고려시대에 건립된 이후 여러 국란을 겪으면서도 시기별 변천 특징이 기록과 함께 잘 남아 있고, 대장전 안에 있는 윤장대의 경우 우리나라에선 유일하고 동아시아 전체로 봐도 그 사례가 드문 유물이라 국보로 더욱 존중할만한 가치가 충분하다 여겨졌어요. 특히 윤장대는 여러 불교 도구 중 가장 이색적인 것으로 꼽히는데, 글자를 모르거나 불경을 읽을 시간이 없는 신도들을 위해 만들어졌습니다. 팔각형 나무 조형물로 된 윤장대엔 불경을 넣어두는데, 이를 한 바퀴 돌리면 그 안에 든 불경을 한 번 읽는 것으로 간주한다네요."
247,"충
북 단양과 경북 영주만 해당되는 줄 알았던 소백산 권역에 예천이 포함된다는 걸 처음 알게된 여행이었습니다. 비록 소백산국립공원을 구성하는 탐방로 7개 중 예천과 관련된 건 없지만, 지난 5월 1일부터 소백산하늘자락공원이 개방되자마자 백두대간 권역의 명품 관광지로 알려졌는데요. 둘레길을 걷는 느낌으로 전망대 가장 높은 곳까지 빙글빙글 돌아 올라가면, 국내 최대 규모의 양수발전소 상부댐과 어우러진 소백산 풍경을 바라볼 수 있습니다. 비록 이날은 한동안 한반도를 괴롭혔던 고농도 미세먼지 때문에 시야가 드넓게 확보되지 못해 아쉬웠지만, 산등성이의 모습은 이제 막 아침이 밝은 듯한 영험한 효과를 내더군요."
248,"제
가 주로 이용하는 충북선과 함께 중앙선, 경부선 철도를 잇는 경북선엔 이름부터 호기심 자극하는 간이역이 있습니다. 바로 문경과 예천 사이에 위치한 용궁면의 용궁역인데요. 역무원 없이 운영되어 기차 이용 시, 차내에서 승차권을 발권해야 하지만 지역 특산물 토끼간빵이 역장 역할을 톡톡히 해냅니다. 저는 이번 예천 여행 중 점심식사를 용궁면 대표 먹거리인 오징어볶음, 순대 정식으로 즐겼는데요. 순대는 원래 좋아해 이번에도 역시 맛있게 즐겼지만, 오징어볶음은 굳이 먼저 찾는 메뉴가 아닌지라 기대 없이 한 입 쏙 넣었다가 특유의 불맛에 푹 빠져들었습니다."
249,"지
금은 고즈넉한 시골 풍경이 짙게 펼쳐진 마을이지만 금당실은 결코 예사롭지 않은 이력을 지녔습니다. 조선의 도읍 후보지였고 예언서 정감록이 언급한 십승지 중 하나였으며, 6·25 전쟁도 피해 없이 지나쳤을 정도로 길지(吉地) 중의 길지인데요. 돌담 따라 펼쳐진 여러 길목을 두루 누빈 후 송림에서 마을 한바퀴 여정이 마무리됩니다."
250,"충
북 단양군과 인접한 예천의 북쪽 동네 효자면에 위치한 명봉사를 통해 이번 예천 여행이 마무리되었습니다. 사찰 그 자체의 규모는 아주 작지만, 조선 제5대 왕인 문종(세종대왕의 아들, 단종의 아버지)와 뒤주에 갖혀 생을 마감한 사도세자의 태실이 이곳에 있어요. 태실은 명봉사 뒷편에 조성된 산책로를 통해 접근하게 되는데, 넉넉 잡아 20분이면 다 둘러볼 수 있으나 경사가 생각보다 급해 차근차근 움직여 다가가는 걸 권합니다."
251,
252,"안동 가볼만한곳 월영교와 안동댐 일출, 낙동강 따라 드라이브 하기 좋은 경북 안동 여행코스, 국내여행지 추천
글 / 사진 - 사진작가 김대형
안녕하세요.
DHK.Photogallery 김대형입니다.
오늘 소개해드릴 곳은, 안동에 위치한 월영교입니다.
경북 안동시 상아동에 위치한 목책교로 한 부부의 아름다운 사랑이 간직되어 있는 인도교라는 설이 전해져 내려옵니다.
낙동강을 끼고, 안동호와 안동댐 가까이 있으며
월영교에 안동댐 인증센터도 같이 위치해 있습니다.
야경과 일출이 너무 아름다운데, 오늘은 일출 위주의 사진을 보여드리고
야경도 마지막에 소개해드리도록 하겠습니다."
253,"물안개 피는 장면을 보고 싶어 정말 올겨울 부단히 찾아갔던 것 같습니다만
만족스러운 장면을 담아보진 못했습니다.
이날도 습도가 높고 일출각이 맞아 다녀왔는데 아쉽게 날이 예보와 다르게 흐려서 묵직한 톤으로 다가온
월영교의 풍경만 담아보고 왔네요."
254,"살짝 아쉬웠지만 그래도 약간의 물안개 있는 일출도 올해 만나보긴 했었습니다.
정말 몽환적으로 피어오르는 일출은 내년에 만나볼 수 있길 바라봅니다^^"
255,"월영교는 몽환적인 일출도 아름답지만 이렇게 조명이 들어오면서 야경도 참 멋진 곳인데요
특히 벚꽃이 만개한 봄에 만나는 월영교 야경은 정말 환상적으로 예쁘다고 하네요.
저도 올해 봄에는 주말에 분수가 펼쳐지는 월영교의 야경을 벚꽃시즌에 한번 촬영해볼까 계획 중에 있습니다.
분수는 주말에 가동된다고 하니, 월영교 야경을 보실 분들은 주말에 가시는 게 좋을 듯합니다^^"
256,"이날은 빛이 약해서 그런지 사진이 상당히 묵직하게 나왔는데요
이런 색의 월영교도 분위기 있긴 하지만 제가 원하는 톤은 아닌  듯 합니다.
그나마 낙동강에서 오리들이 놀아주고, 아침 일찍 아이와 손잡고 오신 분 덕에 사진이 조금 더 풍성해졌습니다."
257,"월영교는 정말 안동의 대표적인 여행코스이자, 가볼만한곳 인데 아침과 야경 분위기가 모두 달라서 
여행코스를 짤 때 두 번 방문해도 좋은 곳입니다.
아침에 일출도 보고, 저녁에 야경도 만나고! "
258,"월영교를 중심으로 낙동강 따라 수변데크가 조성되어 있어 좌우로 거닐면서 월영교를 바라볼 수 있습니다.
좌우, 그리고 중앙에서 바라보는 월영교의 풍경이 모두 달라 걸으며 바라보는 즐거움이 있습니다."
259,"그리고 목책교이자 인도교로 월영교를 직접 건너볼 수도 있는데요, 가운데 정자에서 바라보는 낙동강의 모습이 참 아름답습니다.
저 멀리 안동댐도 보이고, 안동호에서 흘러오는 물줄기가 낙동강으로 흘러드러오는 풍경이 고요하고 잔잔합니다."
260,"잔잔했던 수면에 비친 월영교와 정자.
다음에 멋진 물안개 일출을 만날 수 있길 바라보면서, 포스팅을 마치도록 하겠습니다.
안동에 가볼 만한 더 멋진 곳들은 아래에서 보여드릴게요!
감사합니다."
261,"당일치기 안동~대구 여행코스
▼▼▼ 아래 사진을 클릭하세요 ▼▼▼"
262,"안동 월영교 주변 더 가볼만한곳
▼▼▼ 아래 사진을 클릭하세요 ▼▼▼"
263,"바라보는 그 순간.
DHK.Photogallery
Photogroup Soon-Gan
여행하며 사진 찍고 글 쓰는 여행 사진작가 김대형
창작자에게 힘을 주세요! 인플루언서 팬 하기!
아래 네임텍을 클릭해 주세요~
https://in.naver.com/suntill0210"
264,"인스타그램도 놀러 오세요~
https://www.instagram.com/dhk.photogallery
.
.
블로그에 게시된 모든 사진의 저작권은
DHK.Photogallery 김대형에게 있으며
무단 사용을 엄격히 금지합니다.
무단 사용 시 저작권법에 의거
법적 책임을 지실 수 있습니다.
상업적 이용을 원하시는 분은
별도로 연락 주시기 바랍니다."
265,"오늘은 경북 여행지 추천, 의성군에 있는 고운사에 대해서 알아보겠습니다. 고운사는 의성군 단촌면에 위치하고 있으며 주소는 경북 의성군 단촌면 고운사길 415·지번 구계리 116입니다."
266,"'고운사'는 신라 신문왕 원년(681년)에 해동 화엄종의 시조이신 의상대사가 창건한 사찰입니다. 원래 고운사는 '高雲寺' 높을 고 : 구름 운을 사용했었지만 이후 최치원의 호를 따서 '孤雲寺' 외로울 고 : 구름 운을 사용하고 있습니다. 대한불교 조계종 16교구 본사로 의성, 안동, 영주, 봉화, 영양에 산재한 60여 개의 사찰을 관장하고 있다고 하네요. 쉽게 말하자면 전국적으로 수많은 절이 있지만 그중에서도 오래되고 높은 위치에 있는 절이라고 보시면 되겠네요."
267,절 입구까지 차로 이동할 수 있으며 곧게 뻗은 나무들로 아름답고 웅장한 풍경을 바로 만나실 수 있습니다. 이전에도 주차장이 있기 때문에 주차를 해놓고 산책 삼아 절까지 걸어가시는 분들이 계신데 생각보다 거리가 조금 됩니다. 저는 차 타고 절 앞까지 이동했었는데 기회가 된다면 천천히 풍경을 만끽하면서 걸어보고 싶네요.
268,일주문을 지나 들어오시면 '고운사 안내도'가 보이면서 의성 고운사의 모습이 나타나게 됩니다. 어디를 가던 주차 걱정을 하시는 분들이 계실지 몰라서 참고사항으로 말씀드리자면 주차 공간은 넉넉하기 때문에 마음 놓고 편하게 오시면 될 것 같습니다. 버스 대절해서 오시는 분들도 보일 정도이니 주차 걱정은 안 하셔도 됩니다!
269,"경북 여행지 추천, 고운사 안내도만 봐도 엄청나게 큰 절임을 바로 느낄 수 있습니다."
270,일주문을 지나 보이는 곳이 바로 천왕문인데 이 문에는 불법을 수호하는 사천왕들이 좌우로 2명씩 모셔져있습니다. 이와 같이 사천왕을 모신 것은 악귀의 범접을 막기 위해서도 있지만 절을 찾아온 중생들의 마음속에 있는 잡념을 없애주는 역할도 한답니다. 고운사뿐만 아니라 가까운 경주 불국사만 봐도 불국사 사천왕들의 모습을 보실 수 있죠.
271,"대표 사찰 내에는 간단하게 티타임을 가질 수 있는 커피숍도 있으며 그 안에는 팔찌나 액세서리, 기념품 등 다양한 게 구비되어 있습니다. 확실히 기본적인 풍경이 좋다 보니 화려한 커피숍은 아니지만 은은한 분위기의 모습들이 굉장히 마음에 들었습니다."
272,사찰 내부의 모습과 함께 곳곳에는 다양한 볼거리를 제공하고 있기 때문에 살짝~ 박물관 느낌도 없지 않아 있었습니다.
273,조금 더 더워지면서 매미들이 울기 시작하면 한 번 더 가야 될 것 같네요.
274,사찰이라고 자연 속의 아름다움을 찾으시는 중후한 분들께서 많이 오실 줄 알았는데 생각보다 어린 학생들도 많이 보여서 놀랐습니다. 부모님들과 함께 가족 단위로 오는 어린 학생들이 조금씩 눈에 띄었습니다. 그래도 아직은 애들인지 사찰에서 괴성을 지르면서 돌아다니더라고요. 부모님들은 그런 아이들을 붙잡고 조용하라고 야단치는 모습들이 멀게만 느껴졌던 사찰의 인식이 저에게 한 걸음 더 다가오는 것 같았습니다.
275,고운사삼층석탑에 돌이나 동전을 올리던가 기왓장에 이름을 새겨 남겨놓는 분들도 꽤나 많이 보였습니다. 어른들에게는 좋은 추억이 될 수 있겠고 아이들에게는 좋은 체험 장소가 될 수 있습니다.
276,"종교를 떠나서 한 번쯤 와서 자연을 만끽하고 가기 좋은 경북 여행지 추천, 아름다운 사찰이었습니다. 잡생각이 많을 때 한번 와서 아무 생각이 걸으면서 힐링 할 장소로는 완벽합니다! 기회가 된다면 재방문해야겠습니다. ^^"
277,
278,
279,
280,"경북 여행지 추천 합니다 캠핑클럽 촬영지♡
""대구근교 가볼만한곳 어때요?"""
281,
282,"즐거운 11월 가을날 보내고 있으신가요?
요즘 날씨도 좋으니 모두 여행 많이 떠나시지않을까 생각이 드는데요 >_<!!
단풍 피는 가을엔 특히나 경주 참 좋잖아요
캠핑클럽 촬영지로도 유명한
경주 화랑의 언덕 다녀온 이야기를 기록하려합니다 히힛
경북 여행지 추천 드리며 시작할게요 고고
대구근교 나들이 떠나실 준비 되셨나유우"
283,"하 이쁘죠 이쁘죠
저희는 산도 아직 푸릇푸릇했었던 10월초에 다녀왔던 모습들이에요
지금은 대구근교 단풍 구경 할수잇으려나?
여긴 그 유명한 경주 화랑의 언덕 핫 포토존!!
사실 저희부부는 별기대없이 숙소 가는길이라 살짝 들리자 했던 곳이였거든요
막상 도착해보니
와ㅠ 기대이상으로 느무느무 멋진 풍경이였어요
이 전경이 단풍으로 물들게 되면
더 멋진 경북 가을 여행지로 탈바꿈할테구 말이쥬
지금 딱
 대구근교 가볼만한곳 으로도 딱이고요"
284,"흐어 다시봐도 넘 이쁜 대구근교 나들이 장소
일명 명상바위@@
사진 찍으면 느무느무 멋져요 ♡
사실 예전에 여긴 캠핑장으로 다녀왔던 곳인데
ok그린오토캠핑장이라고!
(지금 캠핑장은 운염안하고 있어요)
잔디쪽 말고 호수쪽뷰로 잡고 지인가족과 캠핑을 했던 추억 많은곳이였거든요
2세 계획없다가 같이 캠핑했던 부부의 귀요미애기 보고는 행복한 세가족 모습을 처음 상상해본 계기가 된곳? 크크
무튼 다시 찾은 이곳은 완전 핫플의 성지가 되었더군요 
캠핑클럽 촬영지로 방송보고 찾아오시는 분들도 많을 테구요
여긴 11월 점점 울긋불긋 단풍 으로 물든 모습이겠지요
대구근교 단풍 보러 경주오신다면 꼭 들리시라며 :)"
285,
286,"현장은 이런 모습 ㅋㅋㅋ
이쁜 포즈를 취하고 찍고 있으나 부끄러움은 우리의 몫ㅋㅋㅋ
이렇게 각각 줄을 서서 사진을 찍어야했거든요
삼각대를 쓰고 하기에는 기다리시는 분들도 많고 해서
앞에 분에게 부탁드리고 찍어주신 사진이에요
다들 여행오신분들이라 기분 좋게 서로 추억을 남겨드리고 화기애애했쥬ㅋㅋ"
287,"아빠랑 딸 둘이 놀고 있는 귀여운 모습도 카메라에 담아놓아요
경주 화랑의 언덕 포토존을 찍고나도 너무 좋은 공간들이 많더라구요
대구근교 나들이 하기에 참 좋죠 가족들 온가족 모두 피크닉 하기에도 좋은곳이고
특히 잔디!
푸릇푸릇한 잔디와 이쁘게 가꾸어진 나무들까지도 그림같은 풍경이였어요"
288,"살짝 경사가 있어서 애들 뛰어놀때는 조심!
요즘은 놀이터에도 모래나 잔디가 없어서 그런지
이렇게 잔디나 자연을 짱짱이는 느무느무 조아해요 >_<
그리고 저 핑크선글라스!!
본인이 직접 썼어요 귀여워죽겟 ㅋㅋㅋ"
289,"우뚝 서있는 나무도 푸릇푸릇한 잔디밭도 이뻐서 앉아서 사진 찍기 바빴죠
대구근교 가볼만한곳 오세요 경주 화랑의 언덕으로!
우리 세가족 사진 담기도 성공적 >_<!!
신혼때 여기 경주 캠핑클럽 촬영지,
 ok그린오토캠핑장 다녀왔던 때만 해도 둘이 오질나게 놀기 바빴었건만 크크크
지금 생각해도 짱짱이 낳은건 우리인생 최고 잘한일이라며 으헤헤
가을도 겨울도 올한해 행복하게 마무리해요♡"
290,"19개월된 딸래미 의자에 앉히는건 하늘에 별따기ㅋㅋ
그래도 엄마랑 아빠랑 카메라보고 있으니 후다닥 오더니 포즈취해요
우리딸 맞죠? 풉
곳곳에 포토존도 많고 캠핑이나 취사는 안되도
돗자리깔고 가벼운 가을 피크닉 즐기기도 좋은
경북 여행지 추천 하고 파요
대구근교 나들이, 경주 가볼만한곳으로
느므느무 딱이니까요!!"
291,"이제 곧 결혼한지 3년, 만난지 10년이 넘어가도
애틋한 우리에요
반주말부부라 연애때처럼 늘 만나는날이 기다려지고 
월요일, 금요일이면 와이프 보고싶어 죽겠다는 꿀멘트를 여전히도 듣는♡ 크크크
그리고 자는 아가 모습 보며 둘다 미춰버리겠다고 눈마주치며  웃고, 우리만의 파티가 시작되고 풉
즐거운 우리집 세가족
지금처럼 행복하즈아♡"
292,"짱짱이가 주도한
엄마와 딸 커플샷 ㅋㅋ
엄마랑 아빠 앉아있는게 조아보였는지
자기 앉히라고, 엄마도 저 옆에 앉으래요ㅋㅋ
아직 말은 다못해도 대화가 된다는게 신기해요 푸핫"
293,"경주 화랑의 언덕 전경이 많지 않아요 흑흑
훨씬 더 넓은 공간인데 사진이 없다며ㅜㅜ
시간 여유있으시다면 돗자리도 하나 챙겨오시면 더 좋을것 같아요
오래 오래 머물고 싶은 마음이 들더라구요"
294,"마누리 사진 찍어주고 싶던 울냄편 속도 모르고
금새 뛰쳐온 짱짱이
저기로 가잡니다ㅋㅋㅋㅋㅋ"
295,"11월의 경주는 여기저기 붉고 노란 단풍 소식이 들리겠죠
요즘처럼 선선한 가을 떠나기 좋은 경북 여행지 추천 드리고 싶어요
경주 화랑의 언덕!
풍경도 멋지고 드넓은 잔디밭에 곳곳의 포토존까지 이쁜곳 천지인 캠핑클럽 촬영지
대구근교 나들이 갈만한곳, 대구근교 가볼만한곳 찾으신다면 
단풍 구경 갈겸 한번 다녀와보시어요♡"
296,"안녕하세요.^^*
짚신할아버지 입니다~
오랜만에 칼국수 먹고왔더니 배 엉청부르네요...ㅋㅋ
오늘은 경북 청도여행지추천, 다로리벽화마을
이야기를 꺼내볼까 합니다.^^*"
297,"아는 지인분과 함께 했던 청도여행!!
늦잠자고 생각없이 집에서 멍때리다가 무작정
어디든 가보자해서 오게된 곳이예요.ㅎㅎㅎ
청도여행지, 청도관광지 하면 대표적으로 청도와인터널만
알고있었는데 조금더 조사를 해보니 전혀 알지 못했던
관광지들이 군데군데 있더라구요~~~^^
그래서 이날 처음으로 방문하게 된 청도구경거리 다로리벽화마을 입니다."
298,"처음에 딱 도착하였을때는 뭔가 없을것처럼 보였는데
막상 마을 구석구석 돌아보니 보는 재미 사진찍는재미가 쏠쏠하더라구요.^^
기차 벽화는 한국철도공사 시절 기차도색이네요~
그리고 청도하면 역시 동물 소가 대표적이죠!
소가 사람다리를 배개삼아 있는 저 벽화 뭔가 보고있으면
마음이 찡하면서 참 좋았었습니다.^^"
299,"흔한 시골집 창문에 새로운 변화를 주었네요!
이렇게 보니 정말 잘 어울리는것 같습니다.^^
마을 대부분이 노란색 배경에 그림들이 그려져있는데
생각 의외로 색상배치가 잘맞아서 구경하는 내내
열심히 사진찍는다고 바빴어요!ㅎㅎㅎ"
300,"청도 가족나들이,데이트코스 다로리벽화마을에는
이렇게 군데군데 좋은 말들이 적어져있었습니다.
하나도 놓치지 않고 전부다 읽어 보고 제가 마음에드는
글귀벽화 2개를 사진으로 남겨보았습니다."
301,"청도 다로리벽화마을을 알리는 벽화그림 입니다.
역시 소가 빠지지 않았군요!
다른 벽화마을에 비해서 엉청 한적한 시골동네에
이렇게 벽화가 그러져 있어서 그런지 마을을 둘러보는동안
이야~~~~ 이게 힐링이구나!! 라는게 느껴졌었답니다.ㅎㅎ"
302,"마을 안쪽길을 한번 찍어보았는데
시내에서 살다가 한번씩 이렇게 시골동네에 오면
뭔가 모르게 제 마음에도 평온함이 찾아오는것 같았습니다.
저두 그냥 시내생활 청산하고 시골로 들어와서 살까요?ㅎㅎ
요즘 젊음 나이에 시골에 들어와서 농사지으며
사시는분들도 꽤나 계신다고 이야기 들었던것 같은데
진지학세 고민한번 해봐야겠습니다.^^"
303,"벌은 벌인데 무슨벌인지 모르는 벌이 열심히 
꽃가루를 먹는모습? 모으는모습?을 찍어보았습니다.
찍는동안 저한테 침을 쏠까봐 조마조마했는데
아무리 쳐다봐도 침이 안보이더라구요~ㅋㅋㅋㅋㅋㅋㅋ"
304,"마지막으로 남겨본 벽화그림 입니다.
마을 규모는 생각보다 작지만 군데군데 많은
벽화그림들이 그려져있어서 좋았습니다.^^
경북 여행지, 청도 다로리벽화마을은
한번씩 와볼만할것 같아요~
힐링도 되고~ 벽화도 보고~~~~^^"
305,"헉!!! 이게 뭔가요?!
양귀비네요~??
참 보기 힘든 꽃이죠..ㅋㅋ 그리고 함부로 이꽃을 꺽어서
가져가거나 키우거나 하면 큰일 난다죠~~~~ㅋㅋ
내일부터 주말인데 날씨가 영~~ 써억~~
좋지 않은게 주말도 날씨가 안좋을까봐 걱정이네요..ㅜ_ㅜ
여러분들도 이번 주말에 집에서 멀지않은곳에서 알지못했던
힐링과 즐거움을 느껴보시기 바랍니다.^^"
306,
307,안녕하세요. 네이버의 지난 오늘 글 소개를 하려고 합니다. 벌써 7년 전의 글인데요. 언제 또 가볼 수 있을지 몰라 그때 처음으로 템플스테이를 했던 추억과 골굴사에서만 볼 수 있었던 선무도 시범이 지금도 생생했던 기억에 다시 추억여행을 되살려 그때 여행기를 소개해봅니다. TV에서만 보았던 골굴사를 사진 동호인들과 출사지로 다녀왔던 날인데요. 1박2일 코스로 골굴사를 비롯해서 경주 문무대왕릉 해돋이를 감상하면서 선무도를 펼쳐주었던 스님들의 멋진 비상은 오래도록 기억에 남는 풍경입니다. 경주의 감은사지 3층 석탑을 비롯해서 울산 반구대암각화까지 다녀왔던 코스였습니다. 
308,"경주 가볼만한곳 선무도 총본산 골굴사
위치: 경북 경주시 양북면 안동리 산 304
신라 천년의 역사와 문화를 간직한 국내 유일의 석굴사원 함월산에 신라인들의 호국불교 정신과 정토적인 이념을 배양한 정신문화의 산실로 서경주 함월산 불교유적지 중 가장 오랜 역사를 간직하고 있는 유서 깊은 도량입니다. 신라시대 불교문화가 번창하던 6세기경 서역에서 온 광유성인 일행이 석회암 절벽에 마애여래불과 12처 천색석굴에 가람을 조성하여 법당과 요사로 사용해 온 국내 유일의 석굴사원입니다.
조선 중기 화가 겸재 정선의 골굴 석굴도와 정시한 선생의 토함산 산중일기를 통해 화려한 단청과 기와지붕으로 지어진 아름다운 석굴 전실이 모습을 확인할 수 있습니다. 
조선후기에 화재로 전소되어 폐사지로 남아있던 도량을 1990년 설적운 스님의 원력으로 대가람의 모습을 갖추었습니다. 현재는 전국 각지의 수많은 참배객들이 찾는 기도도량으로 널리 알려졌으며, 연인원 3만명 이상의 템플스테이 실적을 자랑하는 세계적인 사찰로 거듭나고 있습니다. 골굴사에는 마래여래좌상, 금강약수, 남근바위와 여궁, 동아보살 이야기로 유명합니다."
309,"보물제581호 마애여래불좌상과 아래 금강약수
함월산 석회암 절벽에는 석굴로 여겨지는 구멍이 곳곳에 뚫려 있는데, 맨 꼭대기에 마애여래좌상이 조각되어 있습니다. 보물 제581호로 지정된 이 불상은 높이 4m, 폭 2.2m 정도의 크기로 제작 연대에 대해서는 학계에서 의견이 엇갈린다고 할 정도입니다. 세련되지 못한 옷 주름 때문에 삼국시대의 것으로 보기도 하며, 평면적인 신체와 수평적인 옷주름, 겨드랑이 사이의 V자형 옷주름이 9세기 후반에 만들어진 철원 도피안사와 장흥 보림사의 불상과 비슷해 통일신라시대의 작품으로 보기도 한다고 합니다."
310,"경주 골굴사 체험 프로그램
골굴사에서는 선무도 체험, 전통예술(바라, 나비춤) 예술 체험 등을 비롯해서 차와 함께 하는 휴식, 명상, 생태 체험 프로그램 운영하고 있습니다. 특히 템플스테이는 문화체험형, 심신치유형, 장기수행형(장기입산 수행, 지도자과정),국내 유수기업과 관공서, 교육기관 교육 및 연수, 체험프로그램의 새로운 대안으로 활용 되고 있다고 합니다. 또한 화랑사관학교 및 화랑수련회 운영(청소년 인성교육과 건강한 심신 연마)신라 화랑의 기상과 얼을 계승한 화랑사관학교(선무도, 승마, 국궁(활쏘기), 문화유적 답사, 전통문화예술, 영어회화, 한문공부를 진행하고 있습니다."
311,"주차장을 지나 만나는 좌불상과 동아보살 공덕기
동아는 주지 설적운 스님이 부임한 1990년 겨울에 태어나 입양되어서 동아라고 불린 개입니다. 강아지 때부터 새벽예불을 대중들과 함께 했으며 모든 행이 예사롭지 않았다고 합니다. 참선을 하고 탑돌이도 따라 하며 기도객들을 안내했고 동아는 살생을 하지 않았다고 하네요.
다양한 매스컴과 외국 TV에서까지 여러 차례 방영되어 20여 차례 강아지를 분양하여 1200여만 원을 사중에 보시하여 대적광전과 서무도 대학 건립에 공덕을 지었고 유럽까지 동아의 강아지가 분양되었답니다. 마지막 치매와 중풍으로 거동이 불편하면서도 죽는 날까지 새벽 예배를 드렸답니다. 동아의 기제사일도 정하고 동아보살이라고 불렀다고 하는 참 성스러운 개입니다."
312,"관음굴법당과 신굴당
사찰 내 12처 석굴 중에서 가장 넓은 굴법당으로 관세음보살을 주불로 모시고 동굴의 벽면에 청동 108관음 보살상을 원불로 봉안했습니다."
313,"예불 드리는 개 
마애여래좌불상 앞에서 스님이 예불을 드리면 옆에서 가만히 앉아 있는 귀여운 개가 한 마리 있습니다. 사찰에 살아서 그럴까요? 짖지도 않고 정말 얌전히 앉아 있는 모습이 마치 함께 예불을 드리는 듯했습니다. 동아보살이라는 아주 유명한 개가 있었지요. 사찰 입구에서 본 동아보살의 대를 이으면서 예불을 드리는 개들이 정말 신비롭습니다."
314,
315,"선무도와 전통예술 공연
이번 출사 여행의 목적이 바로 전통예술과 선무도 공연을 사진에 담는 것인데 정말 쉽지 않았습니다. 우리가 도착할 즈음에는 해가 뉘엿뉘엿 지기 시작하면서 평상시대로 사진을 담았는데 원하는 만큼 만족한 사진을 담지 못했지만 정말 흥미롭고 전통무예에 대하여 다시 알게 된 계기가 되었습니다. "
316,"바루공양
불교 사찰에서 행하는 전통적인 식사의례. 승려가 공동생활을 할 때 필요한 규범과 법식에 따라 식사함을 말하는데요. 사찰에서 승려가 공동생활을 할 때, 필요한 규범과 법식에 따라 식사하는 것을 말합니다. 사찰에서는 식사를 공양이라 합니다. 식사에 대한 고마움과 공덕을 나타낸 말로, 이를 의례화하여 식사를 하는 것을 바루공양이라고 합니다. 준비물은 각자가 바루(식기) 한 벌과 그에 따른 부속물을 갖추고 있습니다.
바루는 밥그릇 하나, 국그릇 하나, 물그릇 하나, 찬그릇 하나의 4합(四合)이며, 이 가운데 가장 큰 밥그릇만이 바루이고, 나머지는 크기에 따라 국그릇, 물그릇, 찬그릇으로 이 3개는 '분자'라고 하며, 이 분자들은 밥그릇인 바루 안에 포개져 하나를 이룹니다. 보통 때는 이를 포개어 하나로 하고 식사 때는 넷을 정방형으로 펴 놓습니다. 
첫 점심과 저녁 그리고 다음날 아침 공양시간에 마련된 정갈하고 맛있는 사찰음식 뷔페 차림으로 그 어떤 고급 식당 어느 반찬보다 정갈하고 맛이 있었습니다. 일반 식당 분위기와 달라 또 다를 예법을 배우는 과정이었습니다. "
